Product name,Product description,Product link,Product unit price,Product amount,Product running total
FS90R 360° Micro Servo - Getriebemotor,360° servo,https://funduinoshop.com/elektronische-module/elektromotoren-und-zubehoer/elektromotoren/servomotoren/fs90r-3600-micro-servo-getriebemotor,"9,50 €",5,"47,50 €"
KY-023 - Joystick Modul,Joystick to conteroll the arm ,https://funduinoshop.com/elektronische-module/keypads-und-buttons/joysticks/ky-023-joystick-modul,"1,29 €",5,"6,45 €"
40 Stück Breadboardcable male/male (20cm),conection of Servos and Joysticks,https://funduinoshop.com/bauelemente/kabel/jumper-kabel-mikroelektronik/40-stueck-breadboardkabel-maennlich/maennlich-20cm,"1,74 €",1,"1,74 €"
40 Stück Breadboardcable male/female (20cm),conection of Servos and Joysticks,https://funduinoshop.com/bauelemente/kabel/jumper-kabel-mikroelektronik/40-stueck-breadboardkabel-maennlich/weiblich-20cm,"1,74 €",1,"1,74 €"
STMicroelectronics Stm32 Nucleo-64 Development Board With Stm32g431rb Mcu Microcontroller Development Kit MCU STM32 - NUCLEO-G431RB,Microcontroller for the Project,https://www.amazon.de/gp/product/B0CP2XYB3D/ref=ox_sc_act_title_2?smid=A2IISLD0AJTAWY&psc=1,"52,00 €",1,"52,00 €"
"Amazon Basics USB-A auf Mini USB 2.0-Kabel, 480 Mbit/s Übertragungsgeschwindigkeit, mit vergoldeten Steckern, 0.9 m, Schwarz",Cable for connecting the Microcontroller,https://www.amazon.de/gp/product/B00NH13S44/ref=ewc_pr_img_1?smid=A3JWKAKR8XB7XF&th=1,"5,89 €",1,"5,89 €"
"Gewindeeinsätze Lötspitzen Set, Preciva M3 Gewindeeinsatz Lötspitzen Set mit M3 Schrauben Muttern Sortiment Set
",,https://www.amazon.de/Gewindeeinsätze-Lötspitzen-Preciva-Gewindeeinsatz-Schrauben/dp/B0F9WLQ9KH/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.95eb9bf4-3ae6-40b3-9797-ff5c78f5d194%3Aamzn1.sym.95eb9bf4-3ae6-40b3-9797-ff5c78f5d194&crid=1JHAF234T0QWY&cv_ct_cx=m3+gewindeeinsatz&keywords=m3+gewindeeinsatz&pd_rd_i=B0F9WLQ9KH&pd_rd_r=da687ee2-3bb8-4918-8807-8cc6bdbdaf1b&pd_rd_w=qYSQi&pd_rd_wg=FZajY&pf_rd_p=95eb9bf4-3ae6-40b3-9797-ff5c78f5d194&pf_rd_r=GRQZN743YZEG725F5HYT&qid=1765056706&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=M3+%2Caps%2C74&sr=1-4-0bff13d2-7188-4a82-bb3a-ccd1e70f0167-spons&aref=gjA90NHMf0&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1,"28,99 €",1,"28,99 €"
,,,,,"0,00 €"
,,,,,"0,00 €"
,,,,,"0,00 €"
,,,,,"0,00 €"
,,,,,"0,00 €"
,,,,,"0,00 €"
,,,,,"144,31 €"